n15_external_pusher_fraction,event,temperature_keV,completion_fraction,peak_temperature_keV,seed_energy_mev_per_initial_catalyst,seed_energy_mev_per_completion,deposited_target_nuclear_mev_per_initial_catalyst
0.1,oven-1-c12-to-n13,62.0,0.9787067892858978,338.6442987454772,1.2047406749945209,1.2309515865048264,6.371026668799613
0.1,oven-1-c12-to-n13,63.0,0.9785377637816762,339.4746780385261,1.2255936323812224,1.2524745367463075,6.370698252352475
0.1,oven-1-c12-to-n13,64.0,0.9783699572156459,340.3053787832665,1.2464923942309682,1.2740501535619257,6.370372204301463
0.1,oven-1-c12-to-n13,65.0,0.9782033589119374,341.1274750341477,1.2674366440622449,1.2956780740070486,6.370048503903374
0.1,oven-1-c12-to-n13,66.0,0.9780379403656034,341.9412220625004,1.2884260699390724,1.3173579641066295,6.3697270957731
0.1,oven-1-c12-to-n13,67.0,0.9778736746664065,342.74686404609514,1.309460364272666,1.3390894940692393,6.36940792762409
0.1,oven-1-c12-to-n13,68.0,0.9777105353088152,343.544634572659,1.3305392236383113,1.3608723396010591,6.369090947956095
0.1,oven-1-c12-to-n13,69.0,0.9775484448591361,344.3515879238877,1.3516623486060508,1.3827062543184998,6.368776006317172
0.1,oven-1-c12-to-n13,70.0,0.9773872150521848,345.21436209676096,1.3728294435838821,1.4045911614575228,6.368462736903203
0.15000000000000002,oven-1-c12-to-n13,5.0,1.0223464670601137e-09,5.001828826389498,0.11194860972227158,109501635.04178181,2.8739151361859418e-05
0.15000000000000002,oven-1-c12-to-n13,6.0,6.980586186669893e-09,6.01592478994408,0.12765122887730984,18286605.947373338,0.0002635290385317657
0.15000000000000002,oven-1-c12-to-n13,7.0,3.3998838724778816e-08,7.104454680561018,0.14380294148181114,4229642.742974207,0.001681864932146172
0.15000000000000002,oven-1-c12-to-n13,8.0,1.5380641091957796e-07,8.593794606758497,0.16029244385068006,1042170.1078149045,0.010026622643778245
0.15000000000000002,oven-1-c12-to-n13,9.0,0.9766164708126892,291.92810211394885,0.17704774341933652,0.1812868702408906,6.118665181339595
0.15000000000000002,oven-1-c12-to-n13,10.0,0.988515692511967,293.69164676145124,0.19402011541965827,0.1962741885529647,6.141785361527608
0.15000000000000002,oven-1-c12-to-n13,11.0,0.9898864766469034,294.4877100662978,0.21117530513833713,0.21333285191819448,6.144448794228067
0.15000000000000002,oven-1-c12-to-n13,12.0,0.9900838308060581,295.1863431123985,0.22848844494759765,0.23077686741089196,6.144832253236837
0.15000000000000002,oven-1-c12-to-n13,13.0,0.9899521761657656,295.8637431265274,0.24594098016517016,0.24843723372348828,6.144576448352738
0.15000000000000002,oven-1-c12-to-n13,14.0,0.9897031079092543,296.53305181866557,0.26351873471374154,0.2662603892094714,6.144092508889092
0.15000000000000002,oven-1-c12-to-n13,15.0,0.9894099387011609,297.19519849354555,0.28121065147428376,0.2842205646765996,6.143522881304383
0.15000000000000002,oven-1-c12-to-n13,16.0,0.9891027622935922,297.8755293979092,0.29900794712277035,0.3023022061220539,6.142926037741438
