temperature_keV,p_n15_reactivity_m3_s,p_n15_gamma_o16_reactivity_m3_s,p_n15_gamma_to_alpha_branch_ratio,dt_reactivity_m3_s,dd_total_reactivity_m3_s,dd_n_branch_reactivity_m3_s,dd_t_branch_reactivity_m3_s,p_n15_deposited_heating_coefficient_w_m3,dt_local_alpha_heating_coefficient_w_m3,dt_total_energy_coefficient_w_m3,dd_local_charged_heating_coefficient_w_m3,dd_total_energy_coefficient_w_m3
19.511746659948745,5.599665567389988e-28,9.855319668333859e-32,0.00017599836186158946,4.150313669212999e-22,4.9313831940296725e-24,2.5684018303049576e-24,2.3629813637247146e-24,4.455323043820322e-40,2.340636525773523e-34,1.1695868139724573e-33,1.863710289659367e-36,2.871893472472539e-36
20.097917754242356,7.496358926934486e-28,1.2857008779933977e-31,0.00017151004781452802,4.327163875332265e-22,5.212131147264516e-24,2.7164961065255638e-24,2.495635040738952e-24,5.964409886622314e-40,2.440374060096278e-34,1.219424413154359e-33,1.9688485778708578e-36,3.03516369198653e-36
20.70169857655128,1.0004502076846595e-27,1.671661327279869e-31,0.00016709090711756585,4.504644834024798e-22,5.505640723640207e-24,2.8714475363754565e-24,2.63419318726475e-24,7.95999120099213e-40,2.5404673175352557e-34,1.2694397627308981e-33,2.0787014376349105e-36,3.2058401440266275e-36
21.323618157603562,1.330700653113567e-27,2.165525717265574e-31,0.00016273575219180117,4.682215646606415e-22,5.812319459892998e-24,3.0334821037021928e-24,2.7788373561908048e-24,1.0587598871564402e-39,2.640611249528384e-34,1.3194804337487142e-33,2.193415820471415e-36,3.3841584862925755e-36
21.96422142124672,1.7635938478546007e-27,2.794261465907271e-31,0.000158441325325923,4.859319551368867e-22,6.132580490006798e-24,3.202829204661475e-24,2.929751285345323e-24,1.4031874253427404e-39,2.740491861304582e-34,1.3693895269456334e-33,2.3131405372995126e-36,3.57035757532786e-36
22.624069661908173,2.328383735532948e-27,3.590518055199252e-31,0.00015420645662504647,5.035389060444206e-22,6.466842382747215e-24,3.3797215622708015e-24,3.0871208204764134e-24,1.8525573691736703e-39,2.839789108901508e-34,1.4190071203542223e-33,2.438026197464216e-36,3.764679372005798e-36
23.303741036399575,3.0617072299710635e-27,4.593542024957858e-31,0.00015003204682641298,5.209851650475693e-22,6.81552897508361e-24,3.5643951377837205e-24,3.2511338372998887e-24,2.4360195463386225e-39,2.9381801085114685e-34,1.4681718729718244e-33,2.5682251467433365e-36,3.967368844747907e-36
24.003831070495846,4.009144785883834e-27,5.850180695442018e-31,0.00014592091350854817,5.382135956904488e-22,7.179069201849508e-24,3.7570890390380615e-24,3.421980162811446e-24,3.189839631598902e-39,3.0353426298495877e-34,1.5167227703529657e-33,2.7038914044820984e-36,4.178673870682151e-36
24.724953180732822,5.2270250015446625e-27,7.415974493098987e-31,0.0001418775401094783,5.551678402543487e-22,7.557896921984318e-24,3.958045425928833e-24,3.5998514960554856e-24,4.158834962506787e-39,3.1309588344452426e-34,1.564500992586857e-33,2.8451805999994423e-36,4.3988451349442124e-36
25.46773921188082,6.784488862027719e-27,9.35633689963099e-31,0.00013790776416478055,5.71793017065485e-22,7.952450741690018e-24,4.167509413153124e-24,3.7849413285368935e-24,5.398016935790559e-39,3.224719208221926e-34,1.6113518793583934e-33,2.992249908405719e-36,4.628136028319321e-36
26.23283999056486,8.765823998050541e-27,1.1747820220721177e-30,0.00013401843595460975,5.880364411432919e-22,8.363173834823401e-24,4.385728970368154e-24,3.977444864455247e-24,6.974448239199247e-39,3.3163266257098505e-34,1.657126960784391e-33,3.145257985966258e-36,4.866802543414537e-36
27.020925895516783,1.1273072120166232e-26,1.4679464507367527e-30,0.00013021707260355098,6.038483549209123e-22,8.790513760829761e-24,4.612954819897894e-24,4.177558940931867e-24,8.969317432832876e-39,3.4055004710623585e-34,1.7016860166339722e-33,3.3043649051386704e-36,5.1151031695425004e-36
27.832687444958868,1.4428903390750233e-26,1.8254225937085014e-30,0.00012651152650164,6.191826536601375e-22,9.234922280506541e-24,4.849440332115018e-24,4.385481948391523e-24,1.1480225917104227e-38,3.491980729150802e-34,1.744899120597541e-33,3.469732089405086e-36,5.373298786487597e-36
28.668835901633557,1.8379739791489485e-26,2.2590479593657197e-30,0.00012290968125738887,6.339975882132811e-22,9.696855169864453e-24,5.0954414186155e-24,4.601413751248954e-24,1.46236730117103e-38,3.5755319489038078e-34,1.7866486207178715e-33,3.641522248011709e-36,5.641652557312993e-36
29.530103896009447,2.3299095514153013e-26,2.7823589634688876e-30,0.00011941918353777924,6.482564260621347e-22,1.0176772032331175e-23,5.351216423292216e-24,4.825555609038959e-24,1.8537713707206315e-38,3.655946971343395e-34,1.8268310022431523e-33,3.819899310719319e-36,5.9204298203539016e-36
30.417246068209696,2.939108617198683e-26,3.410753701844349e-30,0.00011604721519598685,6.61928050208966e-22,1.0675136109517078e-23,5.6170260114013826e-24,5.058110098115696e-24,2.3384750737175935e-38,3.733050307127624e-34,1.8653585753428345e-33,4.0050283626581917e-36,6.209897980527382e-36
31.331039729225132,3.689404050013854e-26,4.161659095601249e-30,0.00011280030701938491,6.74987474638932e-22,1.119241409073415e-23,5.893133056701767e-24,5.2992810340323836e-24,2.935440819486704e-38,3.8067010435842594e-34,1.9021609277160094e-33,4.1970755793697746e-36,6.510326400072414e-36
32.272285541991586,4.6084128697728746e-26,5.0547004740642735e-30,0.00010968419316807858,6.874162548542649e-22,1.1729075921428749e-23,6.179802526731281e-24,5.549273394697468e-24,3.666641839060258e-38,3.876795159984709e-34,1.937186081504859e-33,4.396208162105658e-36,6.821986288816098e-36
33.24180822292796,5.727890140979912e-26,6.1118709305124505e-30,0.00010670370380858681,6.99202772535774e-22,1.2285594610654871e-23,6.477301366268312e-24,5.808293244386559e-24,4.557343761062101e-38,3.943267132938616e-34,1.9704012954902646e-33,4.6025942734413016e-36,7.145150594042086e-36
34.24045726455011,7.084061355795995e-26,7.357696859783216e-30,0.00010386269246190732,7.103423748448407e-22,1.2862446037679707e-23,6.785898379007378e-24,6.076547658672329e-24,5.636369069273884e-38,4.006090722009985e-34,2.0017934576543644e-33,4.816402973248562e-36,7.480093890016865e-36
35.26910767979324,8.71791890703998e-26,8.819394966088843e-30,0.00010116399406935201,7.208373513490555e-22,1.3460108757773602e-23,7.105864107458247e-24,6.3542446503153566e-24,6.936332988685253e-38,4.065278839585586e-34,2.0313690201554226e-33,5.0378041550560204e-36,7.827092267206493e-36
36.32866076869532,1.0675466755767222e-25,1.0527014743519026e-29,9.860940963384109e-05,7.306967351144875e-22,1.4079063807196802e-23,7.437470711057136e-24,6.641593096139666e-24,8.493838153030359e-38,4.120882429102628e-34,2.059153438792219e-33,5.266968482810933e-36,8.186423221193136e-36
37.42004490811317,1.3007896388610856e-25,1.251355904952985e-29,9.61997134331895e-05,7.399359191925967e-22,1.4719794507350904e-23,7.780991842454958e-24,6.938802664895946e-24,1.0349614603648144e-37,4.172988302164671e-34,2.0851900922379087e-33,5.5040673280401586e-36,8.558365541275014e-36
38.54421636516316,1.577167683626105e-25,1.4815074033188297e-29,9.393467915299023e-05,7.485760855156844e-22,1.53827862680171e-23,8.136702521924085e-24,7.246083746093013e-24,1.2548591411867658e-37,4.2217159177051426e-34,2.1095386726282883e-33,5.749272707389808e-36,8.943199198706541e-36
39.70216013509915,1.902854209356847e-25,1.7470698527263448e-29,9.181312179017874e-05,7.566434500078986e-22,1.606852638955592e-23,8.504879009799327e-24,7.563647379756592e-24,1.5139886669927662e-37,4.267213124668744e-34,2.132273058232913e-33,6.0027572205061324e-36,9.34120523450803e-36
40.89489080436218,2.2845360954593672e-25,2.0522662319992135e-29,8.983295278539034e-05,7.641683353431413e-22,1.677750386389106e-23,8.885798676841667e-24,7.89170518704939e-24,1.8176703926416025e-37,4.30965093267969e-34,2.1534787004233825e-33,6.264693988200344e-36,9.752665646743984e-36
42.12345343955753,2.729387725458485e-25,2.4016222818351027e-29,8.79912465141491e-05,7.711840909714474e-22,1.7510209174047408e-23,9.279739872384738e-24,8.23046930166267e-24,2.1716125512158854e-37,4.349217421355782e-34,2.173249580233717e-33,6.535256590821011e-36,1.0177863277138589e-35
43.38892450313869,3.245031297298605e-25,2.799953090471063e-29,8.628431697413653e-05,7.7772588843528155e-22,1.8267134091957864e-23,9.686981790094314e-24,8.580152301863549e-24,2.5818796752734225e-37,4.386110946299804e-34,2.1916848134791833e-33,6.814619006736923e-36,1.0617081696864711e-35
44.69241279660007,3.839483273020852e-25,3.252341974256609e-29,8.470780422746083e-05,7.838294281632347e-22,1.9048771474195332e-23,1.0107804331139831e-23,8.9409671430555e-24,3.054849990019255e-37,4.420532845853401e-34,2.2088850064123712e-33,7.102955550812009e-36,1.1070605091309088e-35
46.03506043200521,4.521087596994003e-25,3.764111541903604e-29,8.325677087978345e-05,7.895296013458914e-22,1.985561505522646e-23,1.0542487964544095e-23,9.313127090682363e-24,3.5971622789977188e-37,4.452679894529583e-34,2.2249484847977506e-33,7.400440812731959e-36,1.1538718143581557e-35
